scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
order,0.5,0.0,0.05,0.95,imperative_bpmn_nodes,3,10.0,10.0,0.0,10.0,10.0,10.0,10.0
order,0.5,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,4.0,4.0,0.0,4.0,4.0,4.0,4.0
order,0.5,0.0,0.05,0.95,imperative_control_flow_complexity,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,declarative_declare_constraints,3,36.0,36.0,0.0,36.0,36.0,36.0,36.0
order,0.5,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,65.0,65.0,0.0,65.0,65.0,65.0,65.0
order,0.5,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,109.0,109.0,0.0,109.0,109.0,109.0,109.0
order,0.5,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,6.0,6.0,0.0,6.0,6.0,6.0,6.0
order,0.5,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,declarative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.5,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,3,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints,3,37.0,37.0,0.0,37.0,37.0,37.0,37.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,67.0,67.0,0.0,67.0,67.0,67.0,67.0
rework,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,112.0,112.0,0.0,112.0,112.0,112.0,112.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
rework,0.0,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_test_f1,3,0.9090909090909092,0.9090909090909092,0.0,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092
rework,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0432900432900432,0.04329004329004319,8.498374721940739e-18,0.0432900432900432,0.0432900432900432,0.0432900432900432,0.0432900432900432
rework,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.2,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.6303074079971902,0.6722318005216641,0.11072871951240726,0.588587073932458,0.7978009196353439,0.588587073932458,0.7978009196353439
rework,0.2,0.0,0.05,0.95,imperative_bpmn_nodes,3,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.2,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.2,0.0,0.05,0.95,imperative_control_flow_complexity,3,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.2,0.0,0.05,0.95,declarative_declare_constraints,3,64.0,64.0,0.0,64.0,64.0,64.0,64.0
rework,0.2,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,96.0,96.0,0.0,96.0,96.0,96.0,96.0
rework,0.2,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,144.0,144.0,0.0,144.0,144.0,144.0,144.0
rework,0.2,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.2,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.2,0.0,0.05,0.95,declarative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.2,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.2,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.2,0.0,0.05,0.95,imperative_native_precision,3,0.9792576419213974,0.9767334823091908,0.006204005812255372,0.9696652719665272,0.9812775330396476,0.9696652719665272,0.9812775330396476
rework,0.2,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.5,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.9991983542636398,0.9980610608165366,0.0026940795032214843,0.99498482818597,1.0,0.99498482818597,1.0
rework,0.5,0.0,0.05,0.95,imperative_bpmn_nodes,3,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.5,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.5,0.0,0.05,0.95,imperative_control_flow_complexity,3,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.5,0.0,0.05,0.95,declarative_declare_constraints,3,64.0,64.0,0.0,64.0,64.0,64.0,64.0
rework,0.5,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,96.0,96.0,0.0,96.0,96.0,96.0,96.0
rework,0.5,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,144.0,144.0,0.0,144.0,144.0,144.0,144.0
rework,0.5,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.5,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.5,0.0,0.05,0.95,declarative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.5,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.5,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.5,0.0,0.05,0.95,imperative_native_precision,3,0.9458955223880596,0.9461510581265579,0.0018476822132653488,0.9444444444444444,0.9481132075471698,0.9444444444444444,0.9481132075471698
rework,0.5,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
